STT,tinh_thanh,GDP_dau_nguoi,giap_bien
1,Ho Chi Minh City,141.70,1
2,Bac Ninh,155.60,0
3,Ba Ria Vung Tau,281.20,1
4,Binh Duong,157.40,0
5,Quang Ninh,176.00,1
6,Dong Nai,119.00,0
7,Hai Phong,152.30,1
8,Ha Noi,128.20,0
9,Vinh Phuc,114.30,0
10,Da Nang,87.90,1
11,Can Tho,72.30,0
12,Thai Nguyen,102.90,0
13,Long An,80.10,0
14,Tay Ninh,58.03,0
15,Khanh Hoa,62.13,1
16,Lai Chau,61.84,0
17,Quang Nam,61.07,1
18,Lam Dong,59.74,0
19,Binh Phuoc,56.85,0
20,Quang Ngai,57.80,1
21,Hai Duong,56.30,0
22,Hung Yen,55.30,0
23,Ha Nam,55.20,0
24,Nam Dinh,52.00,1
25,Thai Binh,38.00,1
26,Ninh Binh,48.50,1
27,Ha Giang,20.70,0
28,Cao Bang,26.70,0
29,Bac Kan,30.00,0
30,Tuyen Quang,45.70,0
31,Yen Bai,33.60,0
32,Lang Son,38.40,0
33,Bac Giang,52.10,0
34,Phu Tho,38.50,0
35,Dien Bien,27.31,0
36,Lai Chau,33.00,0
37,Son La,38.00,0
38,Hoa Binh,48.30,0
39,Thanh Hoa,41.10,1
40,Nghe An,36.64,1
41,Ha Tinh,49.50,1
42,Quang Binh,37.50,1
43,Quang Tri,43.60,1
44,Thua Thien Hue,40.76,1
45,Binh Dinh,48.69,1
46,Phu Yen,39.97,1
47,Ninh Thuan,39.70,1
48,Binh Thuan,50.31,1
49,Kon Tum,37.49,0
50,Gia Lai,45.36,0
51,Dak Lak,41.00,0
52,Dak Nong,45.24,0
53,Tien Giang,46.90,1
54,Ben Tre,33.00,1
55,Tra Vinh,44.00,1
56,Vinh Long,44.80,0
57,Dong Thap,40.00,0
58,An Giang,34.33,0
59,Kien Giang,48.21,1
60,Hau Giang,38.32,0
61,Soc Trang,37.50,1
62,Bac Lieu,42.05,1
63,Ca Mau,43.29,1
